Transcript ID	Gene ID	Gene symbol	Gene description	Species ID	3P-seq tags	Representative transcript?
ENSMUST00000024702.3	ENSMUSG00000023909.3	Paqr4	progestin and adipoQ receptor family member IV [Source:MGI Symbol;Acc:MGI:1923748]	10090	291	1
ENSMUST00000024704.4	ENSMUSG00000023911.7	Flywch2	FLYWCH family member 2 [Source:MGI Symbol;Acc:MGI:1924167]	10090	29	1
ENSMUST00000024705.4	ENSMUSG00000023912.9	Slc25a27	solute carrier family 25, member 27 [Source:MGI Symbol;Acc:MGI:1921261]	10090	49	1
ENSMUST00000024706.6	ENSMUSG00000023913.12	Pla2g7	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma) [Source:MGI Symbol;Acc:MGI:1351327]	10090	156	1
ENSMUST00000024708.4	ENSMUSG00000023915.4	Tnfrsf21	tumor necrosis factor receptor superfamily, member 21 [Source:MGI Symbol;Acc:MGI:2151075]	10090	460	1
ENSMUST00000024709.7	ENSMUSG00000061665.6	Cd2ap	CD2-associated protein [Source:MGI Symbol;Acc:MGI:1330281]	10090	141	1
ENSMUST00000024711.5	ENSMUSG00000023918.7	Gpr115	G protein-coupled receptor 115 [Source:MGI Symbol;Acc:MGI:1925499]	10090	8	1
ENSMUST00000024717.8	ENSMUSG00000023923.9	Tbc1d5	TBC1 domain family, member 5 [Source:MGI Symbol;Acc:MGI:1919488]	10090	569	1
ENSMUST00000024721.7	ENSMUSG00000023926.7	Rhag	Rhesus blood group-associated A glycoprotein [Source:MGI Symbol;Acc:MGI:1202713]	10090	6	1
ENSMUST00000024724.8	ENSMUSG00000023930.8	Crisp2	cysteine-rich secretory protein 2 [Source:MGI Symbol;Acc:MGI:98815]	10090	5	0
ENSMUST00000024725.4	ENSMUSG00000023931.4	Efhb	EF hand domain family, member B [Source:MGI Symbol;Acc:MGI:3045296]	10090	6	1
ENSMUST00000024727.8	ENSMUSG00000023932.8	Cdc5l	cell division cycle 5-like (S. pombe) [Source:MGI Symbol;Acc:MGI:1918952]	10090	54	1
ENSMUST00000024731.8	ENSMUSG00000023935.9	Spats1	spermatogenesis associated, serine-rich 1 [Source:MGI Symbol;Acc:MGI:1918270]	10090	5	1
ENSMUST00000024733.7	ENSMUSG00000023938.7	Aars2	alanyl-tRNA synthetase 2, mitochondrial (putative) [Source:MGI Symbol;Acc:MGI:2681839]	10090	278	1
ENSMUST00000024734.7	ENSMUSG00000023939.7	Mrpl14	mitochondrial ribosomal protein L14 [Source:MGI Symbol;Acc:MGI:1333864]	10090	9481	1
ENSMUST00000024736.8	ENSMUSG00000023940.9	Sgol1	shugoshin-like 1 (S. pombe) [Source:MGI Symbol;Acc:MGI:1919665]	10090	285	1
ENSMUST00000024738.7	ENSMUSG00000023943.7	Sult1c1	sulfotransferase family, cytosolic, 1C, member 1 [Source:MGI Symbol;Acc:MGI:102928]	10090	5	1
ENSMUST00000024739.8	ENSMUSG00000023944.9	Hsp90ab1	heat shock protein 90 alpha (cytosolic), class B member 1 [Source:MGI Symbol;Acc:MGI:96247]	10090	72	1
ENSMUST00000024742.7	ENSMUSG00000023947.7	Nfkbie	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, epsilon [Source:MGI Symbol;Acc:MGI:1194908]	10090	48	1
ENSMUST00000024747.8	ENSMUSG00000023951.11	Vegfa	vascular endothelial growth factor A [Source:MGI Symbol;Acc:MGI:103178]	10090	3158	1
ENSMUST00000024748.8	ENSMUSG00000023952.8	Gtpbp2	GTP binding protein 2 [Source:MGI Symbol;Acc:MGI:1860138]	10090	585	1
ENSMUST00000024749.7	ENSMUSG00000023953.8	Polh	polymerase (DNA directed), eta (RAD 30 related) [Source:MGI Symbol;Acc:MGI:1891457]	10090	691	1
ENSMUST00000024755.5	ENSMUSG00000023959.8	Clic5	chloride intracellular channel 5 [Source:MGI Symbol;Acc:MGI:1917912]	10090	977	1
ENSMUST00000024757.8	ENSMUSG00000023961.11	Enpp4	ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:MGI Symbol;Acc:MGI:2682634]	10090	257	1
ENSMUST00000024761.7	ENSMUSG00000023965.8	Fbxl17	F-box and leucine-rich repeat protein 17 [Source:MGI Symbol;Acc:MGI:1354704]	10090	1433	1
ENSMUST00000024762.2	ENSMUSG00000023966.3	Rsph9	radial spoke head 9 homolog (Chlamydomonas) [Source:MGI Symbol;Acc:MGI:1922814]	10090	230	1
ENSMUST00000024763.4	ENSMUSG00000023967.4	Mrps18a	mitochondrial ribosomal protein S18A [Source:MGI Symbol;Acc:MGI:1915815]	10090	2703	1
ENSMUST00000024764.6	ENSMUSG00000023968.10	Crip3	cysteine-rich protein 3 [Source:MGI Symbol;Acc:MGI:2152434]	10090	76	0
ENSMUST00000024766.6	ENSMUSG00000023971.8	Rrp36	ribosomal RNA processing 36 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2385053]	10090	51	1
ENSMUST00000024773.5	ENSMUSG00000023978.5	Prph2	peripherin 2 [Source:MGI Symbol;Acc:MGI:102791]	10090	7	1
ENSMUST00000024774.8	ENSMUSG00000023979.9	Guca1b	guanylate cyclase activator 1B [Source:MGI Symbol;Acc:MGI:1194489]	10090	5	1
ENSMUST00000024778.2	ENSMUSG00000092558.3	Med20	mediator complex subunit 20 [Source:MGI Symbol;Acc:MGI:1929648]	10090	1858	1
ENSMUST00000024779.9	ENSMUSG00000090115.2	Usp49	ubiquitin specific peptidase 49 [Source:MGI Symbol;Acc:MGI:2685391]	10090	128	1
ENSMUST00000024782.6	ENSMUSG00000023987.9	Pgc	progastricsin (pepsinogen C) [Source:MGI Symbol;Acc:MGI:98909]	10090	5	1
ENSMUST00000024783.8	ENSMUSG00000023988.8	Bysl	bystin-like [Source:MGI Symbol;Acc:MGI:1858419]	10090	1223	1
ENSMUST00000024791.9	ENSMUSG00000023992.9	Trem2	triggering receptor expressed on myeloid cells 2 [Source:MGI Symbol;Acc:MGI:1913150]	10090	1175	1
ENSMUST00000024792.6	ENSMUSG00000023993.6	Treml1	triggering receptor expressed on myeloid cells-like 1 [Source:MGI Symbol;Acc:MGI:1918576]	10090	56	1
ENSMUST00000024794.6	ENSMUSG00000023995.6	Tspo2	translocator protein 2 [Source:MGI Symbol;Acc:MGI:1917276]	10090	5	0
ENSMUST00000024797.10	ENSMUSG00000064120.8	Mocs1	molybdenum cofactor synthesis 1 [Source:MGI Symbol;Acc:MGI:1928904]	10090	2100	1
ENSMUST00000024802.8	ENSMUSG00000024007.9	Ppil1	peptidylprolyl isomerase (cyclophilin)-like 1 [Source:MGI Symbol;Acc:MGI:1916066]	10090	89	1
ENSMUST00000024805.8	ENSMUSG00000024008.10	Cpne5	copine V [Source:MGI Symbol;Acc:MGI:2385908]	10090	36	1
ENSMUST00000024810.6	ENSMUSG00000024013.9	Fgd2	FYVE, RhoGEF and PH domain containing 2 [Source:MGI Symbol;Acc:MGI:1347084]	10090	44	1
ENSMUST00000024811.7	ENSMUSG00000024014.7	Pim1	proviral integration site 1 [Source:MGI Symbol;Acc:MGI:97584]	10090	5	1
ENSMUST00000024816.7	ENSMUSG00000024019.12	Cmtr1	cap methyltransferase 1 [Source:MGI Symbol;Acc:MGI:1921407]	10090	662	1
ENSMUST00000024817.8	ENSMUSG00000090083.5	Rnf8	ring finger protein 8 [Source:MGI Symbol;Acc:MGI:1929069]	10090	1168	1
ENSMUST00000024823.7	ENSMUSG00000024026.7	Glo1	glyoxalase 1 [Source:MGI Symbol;Acc:MGI:95742]	10090	19773	1
ENSMUST00000024826.7	ENSMUSG00000024028.7	Tff2	trefoil factor 2 (spasmolytic protein 1) [Source:MGI Symbol;Acc:MGI:1306805]	10090	15	1
ENSMUST00000024827.4	ENSMUSG00000024029.4	Tff3	trefoil factor 3, intestinal [Source:MGI Symbol;Acc:MGI:104638]	10090	72	1
ENSMUST00000024829.6	ENSMUSG00000024030.6	Abcg1	ATP-binding cassette, sub-family G (WHITE), member 1 [Source:MGI Symbol;Acc:MGI:107704]	10090	84	1
ENSMUST00000024831.6	ENSMUSG00000024032.6	Tff1	trefoil factor 1 [Source:MGI Symbol;Acc:MGI:88135]	10090	5	1
ENSMUST00000024832.7	ENSMUSG00000024033.9	Rsph1	radial spoke head 1 homolog (Chlamydomonas) [Source:MGI Symbol;Acc:MGI:1194909]	10090	16	1
ENSMUST00000024833.6	ENSMUSG00000024034.7	Tmprss3	transmembrane protease, serine 3 [Source:MGI Symbol;Acc:MGI:2155445]	10090	5	1
ENSMUST00000024839.4	ENSMUSG00000024042.6	Sik1	salt inducible kinase 1 [Source:MGI Symbol;Acc:MGI:104754]	10090	269	1
ENSMUST00000024840.6	ENSMUSG00000024043.8	Arhgap28	Rho GTPase activating protein 28 [Source:MGI Symbol;Acc:MGI:2147003]	10090	107	1
ENSMUST00000024849.9	ENSMUSG00000024053.10	Emilin2	elastin microfibril interfacer 2 [Source:MGI Symbol;Acc:MGI:2389136]	10090	325	1
ENSMUST00000024851.9	ENSMUSG00000024056.9	Ndc80	NDC80 homolog, kinetochore complex component (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914302]	10090	25	1
ENSMUST00000024854.7	ENSMUSG00000024059.9	Clip4	CAP-GLY domain containing linker protein family, member 4 [Source:MGI Symbol;Acc:MGI:1919100]	10090	928	1
ENSMUST00000024857.7	ENSMUSG00000024063.7	Lbh	limb-bud and heart [Source:MGI Symbol;Acc:MGI:1925139]	10090	1999	1
ENSMUST00000024858.6	ENSMUSG00000024064.8	Galnt14	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 14 [Source:MGI Symbol;Acc:MGI:1918935]	10090	143	1
ENSMUST00000024860.7	ENSMUSG00000024065.7	Ehd3	EH-domain containing 3 [Source:MGI Symbol;Acc:MGI:1928900]	10090	1012	1
ENSMUST00000024866.4	ENSMUSG00000024066.8	Xdh	xanthine dehydrogenase [Source:MGI Symbol;Acc:MGI:98973]	10090	223	1
ENSMUST00000024869.6	ENSMUSG00000024068.6	Spast	spastin [Source:MGI Symbol;Acc:MGI:1858896]	10090	1625	1
ENSMUST00000024873.6	ENSMUSG00000024072.8	Yipf4	Yip1 domain family, member 4 [Source:MGI Symbol;Acc:MGI:1915114]	10090	2617	1
ENSMUST00000024880.9	ENSMUSG00000024076.9	Vit	vitrin [Source:MGI Symbol;Acc:MGI:1921449]	10090	31	1
ENSMUST00000024882.6	ENSMUSG00000024078.6	Ttc27	tetratricopeptide repeat domain 27 [Source:MGI Symbol;Acc:MGI:1921446]	10090	784	1
ENSMUST00000024884.4	ENSMUSG00000024079.4	Eif2ak2	eukaryotic translation initiation factor 2-alpha kinase 2 [Source:MGI Symbol;Acc:MGI:1353449]	10090	159	1
ENSMUST00000024885.8	ENSMUSG00000024081.8	Cebpz	CCAAT/enhancer binding protein zeta [Source:MGI Symbol;Acc:MGI:109386]	10090	109	1
ENSMUST00000024887.4	ENSMUSG00000024082.4	Ndufaf7	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex assembly factor 7 [Source:MGI Symbol;Acc:MGI:1920944]	10090	655	1
ENSMUST00000024894.1	ENSMUSG00000024087.3	Cyp1b1	cytochrome P450, family 1, subfamily b, polypeptide 1 [Source:MGI Symbol;Acc:MGI:88590]	10090	237	1
ENSMUST00000024896.3	ENSMUSG00000024088.3	4930583I09Rik	RIKEN cDNA 4930583I09 gene [Source:MGI Symbol;Acc:MGI:1925307]	10090	5	1
ENSMUST00000024897.8	ENSMUSG00000024091.8	Vapa	vesicle-associated membrane protein, associated protein A [Source:MGI Symbol;Acc:MGI:1353561]	10090	1889	1
ENSMUST00000024906.4	ENSMUSG00000024098.5	Twsg1	twisted gastrulation homolog 1 (Drosophila) [Source:MGI Symbol;Acc:MGI:2137520]	10090	401	1
ENSMUST00000024914.2	ENSMUSG00000024105.2	Themis3	thymocyte selection associated family member 3 [Source:MGI Symbol;Acc:MGI:1921806]	10090	57	1
ENSMUST00000024916.5	ENSMUSG00000024107.6	Lhcgr	luteinizing hormone/choriogonadotropin receptor [Source:MGI Symbol;Acc:MGI:96783]	10090	6	1
ENSMUST00000024928.3	ENSMUSG00000024116.5	Prss21	protease, serine 21 [Source:MGI Symbol;Acc:MGI:1916698]	10090	5	1
ENSMUST00000024930.7	ENSMUSG00000024118.8	1600002H07Rik	RIKEN cDNA 1600002H07 gene [Source:MGI Symbol;Acc:MGI:1919266]	10090	88	1
ENSMUST00000024931.4	ENSMUSG00000079662.1	Ntn3	netrin 3 [Source:MGI Symbol;Acc:MGI:1341188]	10090	66	1
ENSMUST00000024932.6	ENSMUSG00000024121.8	Atp6v0c	ATPase, H+ transporting, lysosomal V0 subunit C [Source:MGI Symbol;Acc:MGI:88116]	10090	8	1
ENSMUST00000024936.4	ENSMUSG00000024124.4	Prss30	protease, serine 30 [Source:MGI Symbol;Acc:MGI:1353645]	10090	5	1
ENSMUST00000024939.1	ENSMUSG00000024125.1	Sbpl	spermine binding protein-like [Source:MGI Symbol;Acc:MGI:3694550]	10090	5	1
ENSMUST00000024944.7	ENSMUSG00000024131.7	Slc3a1	solute carrier family 3, member 1 [Source:MGI Symbol;Acc:MGI:1195264]	10090	2477	1
ENSMUST00000024946.5	ENSMUSG00000024132.5	Eci1	enoyl-Coenzyme A delta isomerase 1 [Source:MGI Symbol;Acc:MGI:94871]	10090	1597	1
ENSMUST00000024947.7	ENSMUSG00000024134.11	Six2	sine oculis-related homeobox 2 [Source:MGI Symbol;Acc:MGI:102778]	10090	194	0
ENSMUST00000024954.9	ENSMUSG00000024140.9	Epas1	endothelial PAS domain protein 1 [Source:MGI Symbol;Acc:MGI:109169]	10090	55091	1
ENSMUST00000024956.9	ENSMUSG00000024143.9	Rhoq	ras homolog gene family, member Q [Source:MGI Symbol;Acc:MGI:1931553]	10090	3696	1
ENSMUST00000024957.6	ENSMUSG00000024145.6	Pigf	phosphatidylinositol glycan anchor biosynthesis, class F [Source:MGI Symbol;Acc:MGI:99462]	10090	413	1
ENSMUST00000024958.7	ENSMUSG00000033597.8	Caskin1	CASK interacting protein 1 [Source:MGI Symbol;Acc:MGI:2442952]	10090	6	1
ENSMUST00000024959.4	ENSMUSG00000024146.4	Cript	cysteine-rich PDZ-binding protein [Source:MGI Symbol;Acc:MGI:1929655]	10090	1123	1
ENSMUST00000024963.4	ENSMUSG00000024150.6	Mcfd2	multiple coagulation factor deficiency 2 [Source:MGI Symbol;Acc:MGI:2183439]	10090	515	1
ENSMUST00000024967.8	ENSMUSG00000024151.8	Msh2	mutS homolog 2 (E. coli) [Source:MGI Symbol;Acc:MGI:101816]	10090	995	1
ENSMUST00000024970.5	ENSMUSG00000024154.5	Gtf2a1l	general transcription factor IIA, 1-like [Source:MGI Symbol;Acc:MGI:1919078]	10090	11	1
ENSMUST00000024972.5	ENSMUSG00000024155.7	Meiob	meiosis specific with OB domains [Source:MGI Symbol;Acc:MGI:1922428]	10090	119	1
ENSMUST00000024978.6	ENSMUSG00000073435.5	Nme3	NME/NM23 nucleoside diphosphate kinase 3 [Source:MGI Symbol;Acc:MGI:1930182]	10090	1383	1
ENSMUST00000024981.7	ENSMUSG00000024165.8	Hn1l	hematological and neurological expressed 1-like [Source:MGI Symbol;Acc:MGI:1196260]	10090	213	1
ENSMUST00000024983.6	ENSMUSG00000024169.10	Ift140	intraflagellar transport 140 [Source:MGI Symbol;Acc:MGI:2146906]	10090	327	1
ENSMUST00000024984.6	ENSMUSG00000024168.7	Tmem204	transmembrane protein 204 [Source:MGI Symbol;Acc:MGI:3039635]	10090	364	1
ENSMUST00000024988.9	ENSMUSG00000024164.10	C3	complement component 3 [Source:MGI Symbol;Acc:MGI:88227]	10090	25880	1
ENSMUST00000024993.7	ENSMUSG00000034039.7	Prss29	protease, serine 29 [Source:MGI Symbol;Acc:MGI:2149952]	10090	5	1
ENSMUST00000024999.9	ENSMUSG00000033200.11	Tpsg1	tryptase gamma 1 [Source:MGI Symbol;Acc:MGI:1349391]	10090	13	1
ENSMUST00000025000.3	ENSMUSG00000024172.5	St6gal2	beta galactoside alpha 2,6 sialyltransferase 2 [Source:MGI Symbol;Acc:MGI:2445190]	10090	9	1
ENSMUST00000025002.1	ENSMUSG00000024175.1	Tekt4	tektin 4 [Source:MGI Symbol;Acc:MGI:1919090]	10090	34	1
ENSMUST00000025003.4	ENSMUSG00000024176.5	Sox8	SRY (sex determining region Y)-box 8 [Source:MGI Symbol;Acc:MGI:98370]	10090	7	1
ENSMUST00000025004.6	ENSMUSG00000032915.6	Emr4	EGF-like module containing, mucin-like, hormone receptor-like sequence 4 [Source:MGI Symbol;Acc:MGI:1196464]	10090	38	1
ENSMUST00000025007.5	ENSMUSG00000024177.8	Nme4	NME/NM23 nucleoside diphosphate kinase 4 [Source:MGI Symbol;Acc:MGI:1931148]	10090	155	1
ENSMUST00000025010.8	ENSMUSG00000024180.8	Tmem8	transmembrane protein 8 (five membrane-spanning domains) [Source:MGI Symbol;Acc:MGI:1926283]	10090	614	1
ENSMUST00000025014.8	ENSMUSG00000024181.8	Mrpl28	mitochondrial ribosomal protein L28 [Source:MGI Symbol;Acc:MGI:1915861]	10090	16993	1
ENSMUST00000025019.3	ENSMUSG00000073433.5	Arhgdig	Rho GDP dissociation inhibitor (GDI) gamma [Source:MGI Symbol;Acc:MGI:108430]	10090	24	1
ENSMUST00000025020.5	ENSMUSG00000024186.10	Rgs11	regulator of G-protein signaling 11 [Source:MGI Symbol;Acc:MGI:1354739]	10090	80	1
ENSMUST00000025023.8	ENSMUSG00000024188.10	Luc7l	Luc7 homolog (S. cerevisiae)-like [Source:MGI Symbol;Acc:MGI:1914228]	10090	851	1
ENSMUST00000025025.6	ENSMUSG00000024190.6	Dusp1	dual specificity phosphatase 1 [Source:MGI Symbol;Acc:MGI:105120]	10090	409	1
ENSMUST00000025036.5	ENSMUSG00000024201.7	Kdm4b	lysine (K)-specific demethylase 4B [Source:MGI Symbol;Acc:MGI:2442355]	10090	358	1
ENSMUST00000025045.9	ENSMUSG00000024208.10	Uqcc2	ubiquinol-cytochrome c reductase complex assembly factor 2 [Source:MGI Symbol;Acc:MGI:1914517]	10090	19818	1
ENSMUST00000025046.2	ENSMUSG00000024210.2	Ip6k3	inositol hexaphosphate kinase 3 [Source:MGI Symbol;Acc:MGI:3045325]	10090	62	1
ENSMUST00000025048.6	ENSMUSG00000024209.9	1700061G19Rik	RIKEN cDNA 1700061G19 gene [Source:MGI Symbol;Acc:MGI:1925875]	10090	11	1
ENSMUST00000025050.6	ENSMUSG00000024213.8	Nudt3	nudix (nucleotide diphosphate linked moiety X)-type motif 3 [Source:MGI Symbol;Acc:MGI:1928484]	10090	641	1
ENSMUST00000025052.7	ENSMUSG00000052146.10	Rps10	ribosomal protein S10 [Source:MGI Symbol;Acc:MGI:1914347]	10090	48	0
ENSMUST00000025053.8	ENSMUSG00000024212.8	Mllt1	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 1 [Source:MGI Symbol;Acc:MGI:1927238]	10090	93	1
ENSMUST00000025058.8	ENSMUSG00000024219.10	Anks1	ankyrin repeat and SAM domain containing 1 [Source:MGI Symbol;Acc:MGI:2446180]	10090	1368	1
ENSMUST00000025060.2	ENSMUSG00000024223.2	Armc12	armadillo repeat containing 12 [Source:MGI Symbol;Acc:MGI:1914895]	10090	5	1
ENSMUST00000025061.4	ENSMUSG00000024224.4	Clpsl2	colipase-like 2 [Source:MGI Symbol;Acc:MGI:2685595]	10090	5	1
ENSMUST00000025062.3	ENSMUSG00000024225.4	Clps	colipase, pancreatic [Source:MGI Symbol;Acc:MGI:88421]	10090	5	1
ENSMUST00000025064.8	ENSMUSG00000024227.9	2610034M16Rik	RIKEN cDNA 2610034M16 gene [Source:MGI Symbol;Acc:MGI:1916489]	10090	5	1
ENSMUST00000025065.6	ENSMUSG00000024228.7	Nudt12	nudix (nucleoside diphosphate linked moiety X)-type motif 12 [Source:MGI Symbol;Acc:MGI:1915243]	10090	249	1
ENSMUST00000025075.1	ENSMUSG00000024232.1	Bambi	BMP and activin membrane-bound inhibitor [Source:MGI Symbol;Acc:MGI:1915260]	10090	284	1
ENSMUST00000025076.4	ENSMUSG00000024233.5	Lyzl1	lysozyme-like 1 [Source:MGI Symbol;Acc:MGI:1914578]	10090	5	1
ENSMUST00000025077.6	ENSMUSG00000024234.6	Mtpap	mitochondrial poly(A) polymerase [Source:MGI Symbol;Acc:MGI:1914690]	10090	2974	1
ENSMUST00000025078.3	ENSMUSG00000024235.5	Map3k8	mitogen-activated protein kinase kinase kinase 8 [Source:MGI Symbol;Acc:MGI:1346878]	10090	115	1
ENSMUST00000025081.6	ENSMUSG00000024238.8	Zeb1	zinc finger E-box binding homeobox 1 [Source:MGI Symbol;Acc:MGI:1344313]	10090	954	1
ENSMUST00000025083.8	ENSMUSG00000006740.8	Kif5b	kinesin family member 5B [Source:MGI Symbol;Acc:MGI:1098268]	10090	685	1
ENSMUST00000025092.4	ENSMUSG00000024245.4	Tmem178	transmembrane protein 178 [Source:MGI Symbol;Acc:MGI:1915277]	10090	34	1
ENSMUST00000025093.4	ENSMUSG00000024246.8	Thumpd2	THUMP domain containing 2 [Source:MGI Symbol;Acc:MGI:1919417]	10090	144	1
ENSMUST00000025101.8	ENSMUSG00000024253.8	Dync2li1	dynein cytoplasmic 2 light intermediate chain 1 [Source:MGI Symbol;Acc:MGI:1913996]	10090	171	1
ENSMUST00000025106.3	ENSMUSG00000024258.3	Polr2d	polymerase (RNA) II (DNA directed) polypeptide D [Source:MGI Symbol;Acc:MGI:1916491]	10090	602	1
ENSMUST00000025110.3	ENSMUSG00000024261.5	Syt4	synaptotagmin IV [Source:MGI Symbol;Acc:MGI:101759]	10090	20	1
ENSMUST00000025117.7	ENSMUSG00000024268.10	Celf4	CUGBP, Elav-like family member 4 [Source:MGI Symbol;Acc:MGI:1932407]	10090	12	1
ENSMUST00000025120.6	ENSMUSG00000024271.7	Elp2	elongator acetyltransferase complex subunit 2 [Source:MGI Symbol;Acc:MGI:1889642]	10090	2743	1
ENSMUST00000025137.7	ENSMUSG00000024287.7	Thoc1	THO complex 1 [Source:MGI Symbol;Acc:MGI:1919668]	10090	1441	1
ENSMUST00000025160.3	ENSMUSG00000024306.7	Ccdc178	coiled coil domain containing 178 [Source:MGI Symbol;Acc:MGI:1918200]	10090	7	1
ENSMUST00000025161.8	ENSMUSG00000024308.9	Tapbp	TAP binding protein [Source:MGI Symbol;Acc:MGI:1201689]	10090	2991	1
ENSMUST00000025163.8	ENSMUSG00000024309.9	Pfdn6	prefoldin subunit 6 [Source:MGI Symbol;Acc:MGI:95908]	10090	53	1
ENSMUST00000025166.8	ENSMUSG00000024304.9	Cdh2	cadherin 2 [Source:MGI Symbol;Acc:MGI:88355]	10090	1896	1
ENSMUST00000025170.9	ENSMUSG00000024312.9	Wdr46	WD repeat domain 46 [Source:MGI Symbol;Acc:MGI:1931871]	10090	2782	1
ENSMUST00000025177.7	ENSMUSG00000033382.8	Trappc8	trafficking protein particle complex 8 [Source:MGI Symbol;Acc:MGI:2443008]	10090	742	1
ENSMUST00000025178.10	ENSMUSG00000024319.12	Vps52	vacuolar protein sorting 52 (yeast) [Source:MGI Symbol;Acc:MGI:1330304]	10090	230	1
ENSMUST00000025183.8	ENSMUSG00000024325.8	Ring1	ring finger protein 1 [Source:MGI Symbol;Acc:MGI:1101770]	10090	126	1
ENSMUST00000025192.7	ENSMUSG00000024334.8	H2-Oa	histocompatibility 2, O region alpha locus [Source:MGI Symbol;Acc:MGI:95924]	10090	17	1
ENSMUST00000025196.8	ENSMUSG00000024338.9	Psmb8	proteasome (prosome, macropain) subunit, beta type 8 (large multifunctional peptidase 7) [Source:MGI Symbol;Acc:MGI:1346527]	10090	264	1
ENSMUST00000025197.5	ENSMUSG00000024339.7	Tap2	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP) [Source:MGI Symbol;Acc:MGI:98484]	10090	121	1
ENSMUST00000025198.8	ENSMUSG00000024340.9	Btnl2	butyrophilin-like 2 [Source:MGI Symbol;Acc:MGI:1859549]	10090	10	1
ENSMUST00000025202.6	ENSMUSG00000058975.6	Kcnc1	potassium voltage gated channel, Shaw-related subfamily, member 1 [Source:MGI Symbol;Acc:MGI:96667]	10090	115	1
ENSMUST00000025204.5	ENSMUSG00000024346.5	Pfdn1	prefoldin 1 [Source:MGI Symbol;Acc:MGI:1914449]	10090	1172	1
ENSMUST00000025208.5	ENSMUSG00000024350.5	Dnajc18	DnaJ (Hsp40) homolog, subfamily C, member 18 [Source:MGI Symbol;Acc:MGI:1923844]	10090	243	1
ENSMUST00000025209.5	ENSMUSG00000024352.6	Spata24	spermatogenesis associated 24 [Source:MGI Symbol;Acc:MGI:1918492]	10090	207	1
ENSMUST00000025211.4	ENSMUSG00000024353.4	Mzb1	marginal zone B and B1 cell-specific protein 1 [Source:MGI Symbol;Acc:MGI:1917066]	10090	84	1
ENSMUST00000025212.5	ENSMUSG00000024354.6	Slc23a1	solute carrier family 23 (nucleobase transporters), member 1 [Source:MGI Symbol;Acc:MGI:1341903]	10090	435	1
ENSMUST00000025215.8	ENSMUSG00000024357.9	Sil1	endoplasmic reticulum chaperone SIL1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1932040]	10090	193	1
ENSMUST00000025217.8	ENSMUSG00000024359.8	Hspa9	heat shock protein 9 [Source:MGI Symbol;Acc:MGI:96245]	10090	35335	1
ENSMUST00000025218.7	ENSMUSG00000024360.7	Etf1	eukaryotic translation termination factor 1 [Source:MGI Symbol;Acc:MGI:2385071]	10090	1039	1
ENSMUST00000025223.8	ENSMUSG00000024365.9	Cyp21a1	cytochrome P450, family 21, subfamily a, polypeptide 1 [Source:MGI Symbol;Acc:MGI:88591]	10090	12	1
ENSMUST00000025224.7	ENSMUSG00000024366.7	Gfra3	glial cell line derived neurotrophic factor family receptor alpha 3 [Source:MGI Symbol;Acc:MGI:1201403]	10090	10	1
ENSMUST00000025228.6	ENSMUSG00000024370.11	Cdc23	CDC23 cell division cycle 23 [Source:MGI Symbol;Acc:MGI:1098815]	10090	47	0
ENSMUST00000025234.5	ENSMUSG00000024376.6	Epb4.1l4a	erythrocyte protein band 4.1-like 4a [Source:MGI Symbol;Acc:MGI:103007]	10090	1195	1
ENSMUST00000025236.3	ENSMUSG00000024378.4	Stard4	StAR-related lipid transfer (START) domain containing 4 [Source:MGI Symbol;Acc:MGI:2156764]	10090	2326	0
ENSMUST00000025237.3	ENSMUSG00000024379.3	Tslp	thymic stromal lymphopoietin [Source:MGI Symbol;Acc:MGI:1855696]	10090	144	1
ENSMUST00000025241.6	ENSMUSG00000024382.8	Ercc3	excision repair cross-complementing rodent repair deficiency, complementation group 3 [Source:MGI Symbol;Acc:MGI:95414]	10090	704	1
ENSMUST00000025243.3	ENSMUSG00000024384.3	Iws1	IWS1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1920723]	10090	1334	1
ENSMUST00000025249.6	ENSMUSG00000024391.7	Apom	apolipoprotein M [Source:MGI Symbol;Acc:MGI:1930124]	10090	298	1
ENSMUST00000025250.8	ENSMUSG00000024392.12	Bag6	BCL2-associated athanogene 6 [Source:MGI Symbol;Acc:MGI:1919439]	10090	4819	1
ENSMUST00000025253.6	ENSMUSG00000024393.9	Prrc2a	proline-rich coiled-coil 2A [Source:MGI Symbol;Acc:MGI:1915467]	10090	47	0
ENSMUST00000025254.7	ENSMUSG00000024395.7	Lims2	LIM and senescent cell antigen like domains 2 [Source:MGI Symbol;Acc:MGI:2385067]	10090	123	1
ENSMUST00000025263.9	ENSMUSG00000024401.9	Tnf	tumor necrosis factor [Source:MGI Symbol;Acc:MGI:104798]	10090	18	1
